System,Dataset,Average MAPE Comparison per dataset file per model,,,,,,,,
,,ANN_tuned,ANN,Voting_Regressor_Tuned,Voting_Regressor,Random_Forest_Tuned,Random_Forest,XGBoost_Regressor_Tuned,XGBoost_Regressor,Linear_Regression (Baseline)
batlik,corona.csv,0.0536,0.144,0.0408,0.0531,0.0304,0.0334,0.0301,0.0365,0.1218
batlik,cranium.csv,0.0389,0.1994,0.0188,0.0202,0.0187,0.0202,0.018,0.022,0.0332
batlik,cubus.csv,0.0314,0.1384,0.0185,0.021,0.0174,0.0187,0.0168,0.0204,0.0394
batlik,flame.csv,0.0334,0.1908,0.0187,0.0202,0.0186,0.02,0.018,0.0217,0.032
batlik,france.csv,0.0374,0.1887,0.0214,0.0231,0.0211,0.0225,0.0205,0.0247,0.0393
batlik,frisco.csv,0.0383,0.1441,0.03,0.0326,0.0299,0.0324,0.0287,0.036,0.0509
batlik,jelly.csv,0.0515,0.206,0.0378,0.0576,0.0211,0.023,0.0209,0.0262,0.1698
batlik,karte.csv,0.0391,0.243,0.0355,0.053,0.0172,0.0193,0.0174,0.0216,0.1505
batlik,mandelbrot.csv,0.0355,0.077,0.0209,0.0242,0.0191,0.0212,0.0188,0.0233,0.0464
batlik,strawberry.csv,0.0374,0.1442,0.0238,0.0276,0.022,0.0238,0.0214,0.026,0.0547
batlik,village.csv,0.1339,0.4957,0.1138,0.1897,0.0216,0.0222,0.0223,0.0268,0.5698
dconvert,jpeg-large.csv,0.0418,0.0484,0.0384,0.053,0.0251,0.0278,0.0247,0.0264,0.1345
dconvert,jpeg-medium.csv,0.0356,0.0537,0.0292,0.0399,0.0203,0.0226,0.0198,0.0213,0.102
dconvert,jpeg-small.csv,0.0409,0.0615,0.0303,0.0307,0.0304,0.0341,0.03,0.0315,0.035
dconvert,png-large.csv,0.0334,0.0421,0.0294,0.0382,0.0232,0.0253,0.0227,0.0241,0.0922
dconvert,png-medium.csv,0.0362,0.0565,0.0249,0.0259,0.025,0.0275,0.0244,0.0257,0.0355
