System,Dataset,Average RMSE Comparison per dataset file per model,,,,,,,,
,,ANN_tuned,ANN,Voting_Regressor_Tuned,Voting_Regressor,Random_Forest_Tuned,Random_Forest,XGBoost_Regressor_Tuned,XGBoost_Regressor,Linear_Regression (Baseline)
batlik,corona.csv,0.1059,0.3683,0.0778,0.1031,0.06,0.0649,0.0589,0.0709,0.2614
batlik,cranium.csv,0.0965,0.5509,0.0503,0.0552,0.0491,0.0526,0.0474,0.0578,0.0967
batlik,cubus.csv,0.2427,0.9599,0.147,0.1678,0.1391,0.1493,0.1334,0.1641,0.333
batlik,flame.csv,0.0748,0.3672,0.0432,0.0467,0.043,0.0463,0.0414,0.0499,0.0767
batlik,france.csv,0.1636,1.0012,0.0984,0.108,0.095,0.1019,0.0932,0.1114,0.1922
batlik,frisco.csv,0.2239,0.8629,0.181,0.1967,0.1769,0.1897,0.1715,0.2097,0.3332
batlik,jelly.csv,0.1305,0.6124,0.1089,0.1604,0.064,0.0716,0.0645,0.0845,0.446
batlik,karte.csv,0.5575,3.5721,0.4687,0.6824,0.2877,0.3261,0.2903,0.3658,1.8747
batlik,mandelbrot.csv,0.0584,0.1356,0.0352,0.0412,0.0325,0.0358,0.0318,0.0392,0.0845
batlik,strawberry.csv,0.0758,0.295,0.0505,0.0601,0.0452,0.0486,0.0438,0.0532,0.1314
batlik,village.csv,0.6304,3.4942,0.5495,0.847,0.2653,0.2896,0.2724,0.386,2.4775
dconvert,jpeg-large.csv,0.1846,0.1879,0.1612,0.2174,0.1175,0.131,0.1148,0.124,0.5645
dconvert,jpeg-medium.csv,0.0862,0.1114,0.0671,0.0916,0.0479,0.0532,0.0467,0.0504,0.2408
dconvert,jpeg-small.csv,0.0223,0.0321,0.0169,0.0171,0.017,0.019,0.0168,0.0175,0.0192
dconvert,png-large.csv,0.1061,0.1253,0.0904,0.1153,0.0735,0.0811,0.0718,0.0769,0.2798
dconvert,png-medium.csv,0.029,0.045,0.0201,0.021,0.0201,0.0221,0.0197,0.0207,0.0292
dconvert,png-small.csv,0.0237,0.0343,0.0183,0.0185,0.0185,0.0208,0.0182,0.0192,0.0198
dconvert,psd-large.csv,1.2633,1.273,0.8668,0.88,0.8686,0.9967,0.8673,0.9459,0.8727
dconvert,psd-medium.csv,0.0499,0.0696,0.0405,0.0459,0.038,0.0418,0.0369,0.0398,0.0894
dconvert,psd-small.csv,0.029,0.0386,0.0236,0.0239,0.0237,0.0269,0.0235,0.0251,0.025
