System,Dataset,MAPE,MAE,RMSE
batlik,corona.csv,0.1440,0.2307,0.3683
batlik,cranium.csv,0.1994,0.4240,0.5509
batlik,cubus.csv,0.1384,0.8431,0.9599
batlik,flame.csv,0.1908,0.3318,0.3672
batlik,france.csv,0.1887,0.7448,1.0012
batlik,frisco.csv,0.1441,0.6904,0.8629
batlik,jelly.csv,0.2060,0.4141,0.6124
batlik,karte.csv,0.2430,3.0922,3.5721
batlik,mandelbrot.csv,0.0770,0.1032,0.1356
batlik,strawberry.csv,0.1442,0.2372,0.2950
batlik,village.csv,0.4957,2.0008,3.4942
dconvert,jpeg-large.csv,0.0484,0.1476,0.1879
dconvert,jpeg-medium.csv,0.0537,0.0903,0.1114
dconvert,jpeg-small.csv,0.0615,0.0261,0.0321
dconvert,png-large.csv,0.0421,0.0985,0.1253
dconvert,png-medium.csv,0.0565,0.0360,0.0450
dconvert,png-small.csv,0.0615,0.0275,0.0343
dconvert,psd-large.csv,0.0282,0.9371,1.2730
dconvert,psd-medium.csv,0.0416,0.0538,0.0696
dconvert,psd-small.csv,0.0563,0.0313,0.0386
dconvert,svg-large.csv,0.0256,0.0386,0.0485
dconvert,svg-medium.csv,0.0256,0.0393,0.0483
dconvert,svg-small.csv,0.0514,0.0291,0.0358
h2,smallbank-1.csv,0.9997,19811.6144,20050.7903
h2,smallbank-10.csv,0.9998,13701.1788,13899.9673
h2,tpcc-2.csv,0.9913,718.4511,720.1982
h2,tpcc-8.csv,0.9809,614.2431,636.3789
h2,voter-16.csv,0.9999,32432.1168,33427.4039
h2,voter-2.csv,0.9999,32308.8156,33328.9770
h2,ycsb-2400.csv,0.9998,13976.8496,14130.3850
h2,ycsb-600.csv,0.9994,20502.2353,20745.4133
jump3r,beethoven.wav.csv,0.2044,2.0182,2.6989
jump3r,dual-channel.wav.csv,0.2104,0.6059,0.8437
jump3r,helix.wav.csv,0.2120,1.0685,1.5573
jump3r,single-channel.wav.csv,0.1814,0.3253,0.4321
jump3r,speech.wav.csv,0.1734,0.7721,1.0020
jump3r,sweep.wav.csv,0.1454,0.0853,0.1107
kanzi,ambivert.csv,3.6700,24.4686,38.1084
kanzi,artificl.csv,0.6248,0.2317,0.3605
kanzi,deepfield.csv,20.0459,23.9142,37.5475
kanzi,enwik8.csv,3.7993,41.7853,77.5614
kanzi,fannie_mae_500k.csv,4.6959,34.1769,63.3837
kanzi,large.csv,2.3821,5.1037,8.4435
kanzi,misc.csv,0.8981,0.5403,0.8366
