System,Dataset,MAPE,MAE,RMSE
batlik,corona.csv,0.1449,0.2351,0.377
batlik,cranium.csv,0.1874,0.4092,0.5593
batlik,cubus.csv,0.1443,0.8333,0.9616
batlik,flame.csv,0.1912,0.3345,0.3772
batlik,france.csv,0.2007,0.7744,1.0065
batlik,frisco.csv,0.1568,0.7262,0.8753
batlik,jelly.csv,0.2065,0.4149,0.6348
batlik,karte.csv,0.1394,1.5363,2.3273
batlik,mandelbrot.csv,0.0851,0.1138,0.1487
batlik,strawberry.csv,0.1515,0.2509,0.3167
batlik,village.csv,0.522,2.042,3.4867
dconvert,jpeg-large.csv,0.0492,0.1531,0.195
dconvert,jpeg-medium.csv,0.0525,0.091,0.1141
dconvert,jpeg-small.csv,0.0593,0.0255,0.031
dconvert,png-large.csv,0.0454,0.1067,0.1347
dconvert,png-medium.csv,0.0574,0.0373,0.0459
dconvert,png-small.csv,0.0632,0.0285,0.0353
dconvert,psd-large.csv,0.0576,1.9663,2.4321
dconvert,psd-medium.csv,0.0489,0.0631,0.0778
dconvert,psd-small.csv,0.0598,0.0337,0.0415
dconvert,svg-large.csv,0.0428,0.0645,0.0761
dconvert,svg-medium.csv,0.0338,0.0521,0.0629
dconvert,svg-small.csv,0.0539,0.0305,0.037
h2,smallbank-1.csv,0.9603,19009.1735,19220.2726
h2,smallbank-10.csv,0.9409,12861.0756,13021.2459
h2,tpcc-2.csv,0.3519,249.0825,312.297
h2,tpcc-8.csv,0.4106,244.644,290.25
h2,voter-16.csv,0.9755,31562.4141,32452.9406
h2,voter-2.csv,0.976,31454.4772,32366.5928
h2,ycsb-2400.csv,0.9427,13172.0765,13317.265
h2,ycsb-600.csv,0.962,19728.0467,19959.8531
jump3r,beethoven.wav.csv,0.2158,2.0412,2.7139
jump3r,dual-channel.wav.csv,0.2098,0.6018,0.8295
jump3r,helix.wav.csv,0.2231,1.0888,1.5768
jump3r,single-channel.wav.csv,0.1895,0.3396,0.4488
jump3r,speech.wav.csv,0.1769,0.7696,0.9899
jump3r,sweep.wav.csv,0.1394,0.0823,0.1076
kanzi,ambivert.csv,4.2929,26.369,38.2952
kanzi,artificl.csv,0.6364,0.2336,0.3613
kanzi,deepfield.csv,22.0742,25.2042,37.6839
kanzi,enwik8.csv,5.6653,48.3356,76.8581
kanzi,fannie_mae_500k.csv,6.3992,38.8993,63.2178
kanzi,large.csv,2.3697,5.081,8.4471
kanzi,misc.csv,0.8609,0.5341,0.8423
kanzi,silesia.csv,5.9833,98.0365,158.5278
kanzi,vmlinux.csv,36.5842,190.0992,280.8749
lrzip,ambivert.wav.tar.csv,0.8742,13.1214,25.0118
lrzip,artificl.tar.csv,4.9211,1.4698,1.7937
lrzip,deepfield.tar.csv,0.8708,12.9531,24.3786
lrzip,enwik8.tar.csv,0.9261,20.7773,33.2404
lrzip,fannie_mae_500k.tar.csv,0.9682,38.3073,38.9664
lrzip,large.tar.csv,0.6266,3.0826,4.1818
lrzip,misc.tar.csv,1.1103,1.526,1.8931
lrzip,silesia.tar.csv,0.9492,32.9086,54.8133
lrzip,uiq-32.bin.csv,0.9522,45.7699,86.1621
lrzip,uiq2-16.bin.csv,0.9195,25.5173,47.3823
lrzip,uiq2-4.bin.csv,0.7852,7.3368,12.4188
lrzip,uiq2-8.bin.csv,0.8668,13.7716,24.4639
