System,Dataset,MAPE,MAE,RMSE
batlik,corona.csv,0.1218,0.1815,0.2614
batlik,cranium.csv,0.0332,0.0692,0.0967
batlik,cubus.csv,0.0394,0.2425,0.3330
batlik,flame.csv,0.0320,0.0576,0.0767
batlik,france.csv,0.0393,0.1449,0.1922
batlik,frisco.csv,0.0509,0.2470,0.3332
batlik,jelly.csv,0.1698,0.3248,0.4460
batlik,karte.csv,0.1505,1.4917,1.8747
batlik,mandelbrot.csv,0.0464,0.0615,0.0845
batlik,strawberry.csv,0.0547,0.0942,0.1314
batlik,village.csv,0.5698,1.8075,2.4775
dconvert,jpeg-large.csv,0.1345,0.4166,0.5645
dconvert,jpeg-medium.csv,0.1020,0.1775,0.2408
dconvert,jpeg-small.csv,0.0350,0.0150,0.0192
dconvert,png-large.csv,0.0922,0.2183,0.2798
dconvert,png-medium.csv,0.0355,0.0231,0.0292
dconvert,png-small.csv,0.0332,0.0149,0.0198
dconvert,psd-large.csv,0.0143,0.5350,0.8727
dconvert,psd-medium.csv,0.0517,0.0672,0.0894
dconvert,psd-small.csv,0.0358,0.0200,0.0250
dconvert,svg-large.csv,0.0204,0.0307,0.0393
dconvert,svg-medium.csv,0.0172,0.0265,0.0332
dconvert,svg-small.csv,0.0358,0.0202,0.0253
h2,smallbank-1.csv,0.0576,1128.1618,1358.3790
h2,smallbank-10.csv,0.0463,629.9689,761.7466
h2,tpcc-2.csv,0.0418,30.5220,37.7027
h2,tpcc-8.csv,0.1999,106.6592,161.3894
h2,voter-16.csv,0.0761,2397.7528,2660.2203
h2,voter-2.csv,0.0801,2511.4664,2781.1931
h2,ycsb-2400.csv,0.0905,1277.5203,1574.1514
h2,ycsb-600.csv,0.0835,1682.7746,2077.4593
jump3r,beethoven.wav.csv,0.2572,2.2537,2.8929
jump3r,dual-channel.wav.csv,0.2344,0.6149,0.8483
jump3r,helix.wav.csv,0.2543,1.0969,1.5368
jump3r,single-channel.wav.csv,0.1896,0.3239,0.4260
jump3r,speech.wav.csv,0.1996,0.8104,1.0186
jump3r,sweep.wav.csv,0.1197,0.0698,0.0882
kanzi,ambivert.csv,1.4835,17.2468,27.7170
kanzi,artificl.csv,0.4821,0.1998,0.2931
kanzi,deepfield.csv,17.5431,19.0464,28.9956
kanzi,enwik8.csv,2.7470,39.9632,62.3742
kanzi,fannie_mae_500k.csv,4.2775,35.0736,53.8078
kanzi,large.csv,1.4685,4.4290,6.8875
kanzi,misc.csv,0.4781,0.4095,0.6136
kanzi,silesia.csv,3.0667,83.2124,129.5790
kanzi,vmlinux.csv,28.3329,164.7720,224.3919
lrzip,ambivert.wav.tar.csv,1.6686,14.3431,22.6566
lrzip,artificl.tar.csv,13.2191,1.2602,1.4165
lrzip,deepfield.tar.csv,1.6591,14.0386,21.9851
lrzip,enwik8.tar.csv,1.1510,19.0304,27.3002
lrzip,fannie_mae_500k.tar.csv,0.1210,5.1989,7.4858
lrzip,large.tar.csv,0.9994,2.2352,2.9786
lrzip,misc.tar.csv,2.6327,1.2662,1.4494
lrzip,silesia.tar.csv,1.3366,32.0605,46.0661
lrzip,uiq-32.bin.csv,2.2177,53.5451,75.9299
lrzip,uiq2-16.bin.csv,1.9688,29.3332,42.1544
lrzip,uiq2-4.bin.csv,1.2906,7.0371,10.6030
lrzip,uiq2-8.bin.csv,1.5727,14.6165,21.3113
lrzip,vmlinux-5.10.tar.csv,0.8117,4.5691,6.7454
x264,blue_sky_1080p25_short.y4m.csv,0.7780,3.1537,4.0882
x264,Johnny_1280x720_60_short.y4m.csv,0.8814,2.5791,3.3768
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.7773,8.7428,11.3265
x264,pedestrian_area_1080p25_short.y4m.csv,0.7112,3.5801,4.6371
x264,riverbed_1080p25_short.y4m.csv,0.6559,6.6908,8.8515
x264,sd_bridge_close_cif_short.y4m.csv,0.5165,0.1416,0.1818
x264,sd_city_4cif_short.y4m.csv,0.8257,1.4864,1.9117
x264,sd_crew_cif_short.y4m.csv,0.6205,0.2464,0.3189
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.5132,0.3712,0.4688
xz,ambivert.wav.tar.csv,1.3371,13.0558,16.9103
xz,artificl.tar.csv,0.2907,0.0064,0.0076
xz,deepfield.tar.csv,0.6143,5.7308,7.9549
xz,enwik8.tar.csv,1.9818,71.1581,93.3530
xz,fannie_mae_500k.tar.csv,0.9114,30.1055,35.9601
xz,large.tar.csv,0.4305,1.8599,2.2964
xz,misc.tar.csv,0.2258,0.0874,0.1169
xz,silesia.tar.csv,0.9399,61.2955,77.2593
xz,uiq-32.bin.csv,1.1838,72.0909,91.9138
xz,uiq2-16.bin.csv,1.0598,31.9980,42.6165
xz,uiq2-4.bin.csv,0.6062,4.3081,5.9466
xz,uiq2-8.bin.csv,0.8030,11.8876,16.5599
xz,vmlinux-5.10.tar.csv,0.2821,1.8587,2.2644
z3,AUFNIRA_z3.637557.smt2.csv,7.6073,88.3607,99.8900
z3,LRA_formula_277.smt2.csv,0.1099,0.3167,0.3228
z3,QF_AUFBV_891_sqlite3.smt2.csv,5.3698,10.0088,13.2039
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.1303,0.9517,1.1611
z3,QF_BV_bench_3176.smt2.csv,10.2315,132.2182,151.7125
z3,QF_BV_bench_935.smt2.csv,17.5478,93.0447,96.8623
z3,QF_LIA_tightrhombus.csv,0.7261,0.5836,0.7951
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.0541,0.7431,0.8789
z3,QF_NRA_hong_9.smt2.csv,0.0021,0.0092,0.0155
z3,QF_RDL_orb08_888.smt2.csv,0.0286,0.2623,0.3342
z3,QF_UFLIA_xs_23_43.smt2.csv,0.3659,8.0833,9.7607
z3,QF_UF_PEQ018_size6.smt2.csv,9.7173,161.7096,203.1861
