System,Dataset,MAPE,MAE,RMSE
batlik,corona.csv,0.0334,0.0486,0.0649
batlik,cranium.csv,0.0202,0.0406,0.0526
batlik,cubus.csv,0.0187,0.1163,0.1493
batlik,flame.csv,0.0200,0.0360,0.0463
batlik,france.csv,0.0225,0.0793,0.1019
batlik,frisco.csv,0.0324,0.1498,0.1897
batlik,jelly.csv,0.0230,0.0435,0.0716
batlik,karte.csv,0.0193,0.2427,0.3261
batlik,mandelbrot.csv,0.0212,0.0274,0.0358
batlik,strawberry.csv,0.0238,0.0382,0.0486
batlik,village.csv,0.0222,0.1025,0.2896
dconvert,jpeg-large.csv,0.0278,0.0919,0.1310
dconvert,jpeg-medium.csv,0.0226,0.0394,0.0532
dconvert,jpeg-small.csv,0.0341,0.0146,0.0190
dconvert,png-large.csv,0.0253,0.0612,0.0811
dconvert,png-medium.csv,0.0275,0.0175,0.0221
dconvert,png-small.csv,0.0351,0.0157,0.0208
dconvert,psd-large.csv,0.0156,0.5861,0.9967
dconvert,psd-medium.csv,0.0254,0.0327,0.0418
dconvert,psd-small.csv,0.0380,0.0212,0.0269
dconvert,svg-large.csv,0.0234,0.0353,0.0452
dconvert,svg-medium.csv,0.0193,0.0296,0.0374
dconvert,svg-small.csv,0.0256,0.0144,0.0182
h2,smallbank-1.csv,0.0381,725.6032,943.9406
h2,smallbank-10.csv,0.0220,293.1506,402.8781
h2,tpcc-2.csv,0.0283,20.6659,25.9612
h2,tpcc-8.csv,0.1994,107.3795,173.3277
h2,voter-16.csv,0.0175,561.7190,754.8139
h2,voter-2.csv,0.0171,546.9439,760.9101
h2,ycsb-2400.csv,0.0407,571.7827,724.1104
h2,ycsb-600.csv,0.0353,726.2660,959.9238
jump3r,beethoven.wav.csv,0.1604,1.6229,2.4009
jump3r,dual-channel.wav.csv,0.1558,0.4549,0.6674
jump3r,helix.wav.csv,0.1609,0.8385,1.3028
jump3r,single-channel.wav.csv,0.1408,0.2582,0.3660
jump3r,speech.wav.csv,0.1362,0.6210,0.8784
jump3r,sweep.wav.csv,0.0909,0.0553,0.0782
kanzi,ambivert.csv,0.0632,1.0251,2.3093
kanzi,artificl.csv,0.0425,0.0214,0.0472
kanzi,deepfield.csv,0.0508,0.7970,2.2886
kanzi,enwik8.csv,0.0639,1.6445,4.3756
kanzi,fannie_mae_500k.csv,0.0655,1.0868,3.3673
kanzi,large.csv,0.0524,0.1898,0.4575
kanzi,misc.csv,0.0456,0.0373,0.0655
kanzi,silesia.csv,0.0611,3.1095,8.0384
kanzi,vmlinux.csv,0.0645,6.4009,21.3830
lrzip,ambivert.wav.tar.csv,2.1457,16.8062,25.1240
lrzip,artificl.tar.csv,12.3250,1.1588,1.3663
lrzip,deepfield.tar.csv,2.1188,16.3662,24.3265
lrzip,enwik8.tar.csv,1.4319,21.5693,30.0502
lrzip,fannie_mae_500k.tar.csv,0.1412,5.9034,8.1843
lrzip,large.tar.csv,1.0947,2.4326,3.1862
lrzip,misc.tar.csv,2.5018,1.1829,1.4176
lrzip,silesia.tar.csv,1.6761,36.4492,50.8241
lrzip,uiq-32.bin.csv,2.7683,60.5127,83.3520
lrzip,uiq2-16.bin.csv,2.4954,33.6299,47.1284
lrzip,uiq2-4.bin.csv,1.6120,8.1434,11.7302
lrzip,uiq2-8.bin.csv,1.9584,16.6584,23.5731
lrzip,vmlinux-5.10.tar.csv,0.9810,5.2380,7.3957
x264,blue_sky_1080p25_short.y4m.csv,0.1237,1.2014,2.7165
x264,Johnny_1280x720_60_short.y4m.csv,0.1284,0.9656,2.2561
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.1214,3.3184,7.4688
x264,pedestrian_area_1080p25_short.y4m.csv,0.1236,1.4128,3.1550
x264,riverbed_1080p25_short.y4m.csv,0.1264,2.7134,6.0693
x264,sd_bridge_close_cif_short.y4m.csv,0.0911,0.0526,0.1144
x264,sd_city_4cif_short.y4m.csv,0.1253,0.5548,1.2717
x264,sd_crew_cif_short.y4m.csv,0.1079,0.0937,0.2105
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.0974,0.1458,0.3289
xz,ambivert.wav.tar.csv,0.0249,0.5853,1.4516
xz,artificl.tar.csv,0.3015,0.0067,0.0081
xz,deepfield.tar.csv,0.0262,0.3850,0.7219
xz,enwik8.tar.csv,0.0751,9.6967,33.4509
xz,fannie_mae_500k.tar.csv,0.0243,0.9969,1.7965
xz,large.tar.csv,0.0221,0.1046,0.1585
xz,misc.tar.csv,0.0464,0.0207,0.0505
xz,silesia.tar.csv,0.0231,2.6085,5.5168
xz,uiq-32.bin.csv,0.0615,10.7124,30.9089
xz,uiq2-16.bin.csv,0.0678,5.2569,16.3972
xz,uiq2-4.bin.csv,0.0248,0.2598,0.4981
xz,uiq2-8.bin.csv,0.0642,2.1490,6.5529
xz,vmlinux-5.10.tar.csv,0.0204,0.1557,0.2499
z3,AUFNIRA_z3.637557.smt2.csv,0.0037,0.2942,0.5666
z3,LRA_formula_277.smt2.csv,0.0032,0.0089,0.0160
z3,QF_AUFBV_891_sqlite3.smt2.csv,0.0541,0.4092,1.1149
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.0042,0.0357,0.0537
z3,QF_BV_bench_3176.smt2.csv,0.0089,1.4131,3.4537
z3,QF_BV_bench_935.smt2.csv,0.0069,0.9978,2.3347
z3,QF_LIA_tightrhombus.csv,0.0078,0.0102,0.0171
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.0012,0.0172,0.0252
z3,QF_NRA_hong_9.smt2.csv,0.0023,0.0099,0.0169
z3,QF_RDL_orb08_888.smt2.csv,0.0039,0.0399,0.0531
z3,QF_UFLIA_xs_23_43.smt2.csv,0.0054,0.1721,0.3567
z3,QF_UF_PEQ018_size6.smt2.csv,0.0054,0.3460,0.6456
