System,Dataset,MAPE,MAE,RMSE
batlik,corona.csv,0.0304,0.0445,0.0600
batlik,cranium.csv,0.0187,0.0376,0.0491
batlik,cubus.csv,0.0174,0.1080,0.1391
batlik,flame.csv,0.0186,0.0335,0.0430
batlik,france.csv,0.0211,0.0742,0.0950
batlik,frisco.csv,0.0299,0.1378,0.1769
batlik,jelly.csv,0.0211,0.0394,0.0640
batlik,karte.csv,0.0172,0.2157,0.2877
batlik,mandelbrot.csv,0.0191,0.0248,0.0325
batlik,strawberry.csv,0.0220,0.0354,0.0452
batlik,village.csv,0.0216,0.0986,0.2653
dconvert,jpeg-large.csv,0.0251,0.0830,0.1175
dconvert,jpeg-medium.csv,0.0203,0.0354,0.0479
dconvert,jpeg-small.csv,0.0304,0.0131,0.0170
dconvert,png-large.csv,0.0232,0.0562,0.0735
dconvert,png-medium.csv,0.0250,0.0158,0.0201
dconvert,png-small.csv,0.0309,0.0139,0.0185
dconvert,psd-large.csv,0.0140,0.5281,0.8686
dconvert,psd-medium.csv,0.0230,0.0297,0.0380
dconvert,psd-small.csv,0.0338,0.0189,0.0237
dconvert,svg-large.csv,0.0204,0.0308,0.0393
dconvert,svg-medium.csv,0.0169,0.0260,0.0327
dconvert,svg-small.csv,0.0224,0.0126,0.0159
h2,smallbank-1.csv,0.0360,685.7530,889.7185
h2,smallbank-10.csv,0.0204,271.8972,375.2074
h2,tpcc-2.csv,0.0266,19.4175,24.1857
h2,tpcc-8.csv,0.1961,104.4964,163.7144
h2,voter-16.csv,0.0160,512.3894,695.2127
h2,voter-2.csv,0.0157,497.9584,702.9241
h2,ycsb-2400.csv,0.0380,534.2920,677.0615
h2,ycsb-600.csv,0.0323,661.9081,881.8246
jump3r,beethoven.wav.csv,0.1608,1.6149,2.3316
jump3r,dual-channel.wav.csv,0.1558,0.4506,0.6496
jump3r,helix.wav.csv,0.1615,0.8285,1.2654
jump3r,single-channel.wav.csv,0.1401,0.2553,0.3554
jump3r,speech.wav.csv,0.1359,0.6155,0.8531
jump3r,sweep.wav.csv,0.0900,0.0546,0.0757
kanzi,ambivert.csv,0.0626,1.0226,2.3140
kanzi,artificl.csv,0.0425,0.0214,0.0471
kanzi,deepfield.csv,0.0506,0.7952,2.2947
kanzi,enwik8.csv,0.0636,1.6319,4.3374
kanzi,fannie_mae_500k.csv,0.0655,1.0916,3.3887
kanzi,large.csv,0.0522,0.1890,0.4560
kanzi,misc.csv,0.0454,0.0372,0.0653
kanzi,silesia.csv,0.0610,3.0996,8.0433
