Model A,Model B,T-Statistic,P-Value,Significant
Linear Regression,XGBoost,2.4358196664669847,0.01678474038228855,Yes
Linear Regression,XGBoost Tuned,2.516388726550011,0.013588768464985445,Yes
Linear Regression,Random Forest,2.5049848321035597,0.014005149505865256,Yes
Linear Regression,Random Forest Tuned,2.5220059407612587,0.013387786011350726,Yes
Linear Regression,Voting Regressor,2.4876647686494877,0.01465945395842524,Yes
Linear Regression,Voting Regressor Tuned,2.4951710759764194,0.014372595382463584,Yes
Linear Regression,ANN,-2.405122476821482,0.01816893931021861,Yes
Linear Regression,ANN Tuned,-2.367631086757308,0.01999667831910534,Yes
XGBoost,XGBoost Tuned,3.000823885259466,0.00346502643684589,Yes
XGBoost,Random Forest,3.092833238832851,0.0026249352016637284,Yes
XGBoost,Random Forest Tuned,2.963692706934987,0.003869687105108242,Yes
XGBoost,Voting Regressor,-1.8801991365506485,0.0632449590810751,No
XGBoost,Voting Regressor Tuned,0.788845107325747,0.4322306728591777,No
XGBoost,ANN,-2.4133684014547043,0.017787469402318064,Yes
XGBoost,ANN Tuned,-2.3777127588358007,0.019489804466343845,Yes
XGBoost Tuned,Random Forest,-2.7173799252105955,0.007862496827038427,Yes
XGBoost Tuned,Random Forest Tuned,1.7013632177476645,0.09225231340986574,No
XGBoost Tuned,Voting Regressor,-2.602019713122271,0.010801019715781818,Yes
XGBoost Tuned,Voting Regressor Tuned,-2.689720474622114,0.008491724009900978,Yes
XGBoost Tuned,ANN,-2.4168941321409037,0.01762655186395956,Yes
XGBoost Tuned,ANN Tuned,-2.381561894933578,0.019299311935784567,Yes
Random Forest,Random Forest Tuned,2.6876068006028713,0.008541641720707177,Yes
Random Forest,Voting Regressor,-2.5264491457720544,0.013230704989713595,Yes
Random Forest,Voting Regressor Tuned,-2.373330557371535,0.01970870891445674,Yes
Random Forest,ANN,-2.416252993438108,0.017655717189904472,Yes
Random Forest,ANN Tuned,-2.380834929772307,0.019335162040360603,Yes
Random Forest Tuned,Voting Regressor,-2.6345323528328866,0.009885780863989023,Yes
Random Forest Tuned,Voting Regressor Tuned,-2.7723512080672097,0.006736298169443257,Yes
Random Forest Tuned,ANN,-2.4170438302361603,0.017619748298149548,Yes
Random Forest Tuned,ANN Tuned,-2.381731524018905,0.01929095521988744,Yes
Voting Regressor,Voting Regressor Tuned,2.530046391449612,0.01310474650190597,Yes
Voting Regressor,ANN,-2.4127417713439305,0.0178162059002743,Yes
Voting Regressor,ANN Tuned,-2.376963081455148,0.019527099406677444,Yes
Voting Regressor Tuned,ANN,-2.4144524994271,0.01773785145021991,Yes
Voting Regressor Tuned,ANN Tuned,-2.3789261518511324,0.0194295746181937,Yes
ANN,ANN Tuned,3.1082620884998193,0.0025041429544216546,Yes
