System,Dataset,MAPE,MAE,RMSE
batlik,corona.csv,0.0531,0.0779,0.1031
batlik,cranium.csv,0.0202,0.0409,0.0552
batlik,cubus.csv,0.0210,0.1295,0.1678
batlik,flame.csv,0.0202,0.0363,0.0467
batlik,france.csv,0.0231,0.0822,0.1080
batlik,frisco.csv,0.0326,0.1520,0.1967
batlik,jelly.csv,0.0576,0.1101,0.1604
batlik,karte.csv,0.0530,0.5432,0.6824
batlik,mandelbrot.csv,0.0242,0.0315,0.0412
batlik,strawberry.csv,0.0276,0.0455,0.0601
batlik,village.csv,0.1897,0.5979,0.8470
dconvert,jpeg-large.csv,0.0530,0.1677,0.2174
dconvert,jpeg-medium.csv,0.0399,0.0699,0.0916
dconvert,jpeg-small.csv,0.0307,0.0132,0.0171
dconvert,png-large.csv,0.0382,0.0910,0.1153
dconvert,png-medium.csv,0.0259,0.0165,0.0210
dconvert,png-small.csv,0.0308,0.0138,0.0185
dconvert,psd-large.csv,0.0142,0.5358,0.8800
dconvert,psd-medium.csv,0.0275,0.0356,0.0459
dconvert,psd-small.csv,0.0341,0.0190,0.0239
dconvert,svg-large.csv,0.0207,0.0312,0.0399
dconvert,svg-medium.csv,0.0171,0.0263,0.0331
dconvert,svg-small.csv,0.0245,0.0137,0.0173
h2,smallbank-1.csv,0.0397,762.8556,960.2262
h2,smallbank-10.csv,0.0250,335.4798,440.1805
h2,tpcc-2.csv,0.0286,20.8362,26.2737
h2,tpcc-8.csv,0.1996,106.7468,168.0839
h2,voter-16.csv,0.0285,908.1926,1113.7623
h2,voter-2.csv,0.0299,942.5031,1151.8296
h2,ycsb-2400.csv,0.0466,653.5243,831.4525
h2,ycsb-600.csv,0.0417,846.4520,1097.2394
jump3r,beethoven.wav.csv,0.1778,1.7253,2.3408
jump3r,dual-channel.wav.csv,0.1685,0.4770,0.6564
jump3r,helix.wav.csv,0.1790,0.8748,1.2842
jump3r,single-channel.wav.csv,0.1467,0.2641,0.3537
jump3r,speech.wav.csv,0.1461,0.6485,0.8528
jump3r,sweep.wav.csv,0.0933,0.0562,0.0749
kanzi,ambivert.csv,0.5128,5.9452,9.5300
kanzi,artificl.csv,0.1643,0.0680,0.1049
kanzi,deepfield.csv,5.8781,6.5098,9.9770
kanzi,enwik8.csv,0.9227,13.4471,21.2393
kanzi,fannie_mae_500k.csv,1.4360,11.7870,18.2512
kanzi,large.csv,0.4973,1.4903,2.3412
kanzi,misc.csv,0.1670,0.1404,0.2127
kanzi,silesia.csv,1.0291,27.9538,43.9193
kanzi,vmlinux.csv,9.4680,55.0768,77.3013
lrzip,ambivert.wav.tar.csv,1.9792,16.1904,24.7873
lrzip,artificl.tar.csv,12.5554,1.1859,1.3887
lrzip,deepfield.tar.csv,1.9562,15.7520,23.9423
lrzip,enwik8.tar.csv,1.3367,20.9672,29.8087
lrzip,fannie_mae_500k.tar.csv,0.1371,5.7833,8.1176
lrzip,large.tar.csv,1.0588,2.4050,3.1758
lrzip,misc.tar.csv,2.5311,1.2130,1.4394
lrzip,silesia.tar.csv,1.5652,35.3643,50.3260
lrzip,uiq-32.bin.csv,2.5718,58.6024,82.4654
lrzip,uiq2-16.bin.csv,2.3488,32.6712,46.5801
lrzip,uiq2-4.bin.csv,1.5029,7.9048,11.6182
lrzip,uiq2-8.bin.csv,1.8468,16.2447,23.2974
lrzip,vmlinux-5.10.tar.csv,0.9315,5.1173,7.3149
x264,blue_sky_1080p25_short.y4m.csv,0.3075,1.7261,2.7731
x264,Johnny_1280x720_60_short.y4m.csv,0.3444,1.4139,2.2926
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.3052,4.7754,7.6333
x264,pedestrian_area_1080p25_short.y4m.csv,0.2848,1.9724,3.1915
x264,riverbed_1080p25_short.y4m.csv,0.2679,3.7114,6.1187
x264,sd_bridge_close_cif_short.y4m.csv,0.2059,0.0759,0.1176
x264,sd_city_4cif_short.y4m.csv,0.3230,0.8052,1.2929
x264,sd_crew_cif_short.y4m.csv,0.2471,0.1336,0.2145
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.2090,0.2048,0.3302
xz,ambivert.wav.tar.csv,0.4477,4.4038,5.7934
xz,artificl.tar.csv,0.2903,0.0064,0.0076
xz,deepfield.tar.csv,0.2079,1.9720,2.7511
xz,enwik8.tar.csv,0.6861,27.4658,42.9789
xz,fannie_mae_500k.tar.csv,0.3060,10.1483,12.1951
xz,large.tar.csv,0.1457,0.6296,0.7834
xz,misc.tar.csv,0.0891,0.0350,0.0588
xz,silesia.tar.csv,0.3163,20.7402,26.4585
xz,uiq-32.bin.csv,0.4111,27.7164,41.1470
xz,uiq2-16.bin.csv,0.3706,12.3570,20.2276
xz,uiq2-4.bin.csv,0.2057,1.4876,2.0768
xz,uiq2-8.bin.csv,0.2894,4.7956,8.2645
xz,vmlinux-5.10.tar.csv,0.0970,0.6453,0.8005
z3,AUFNIRA_z3.637557.smt2.csv,2.5358,29.4509,33.2955
z3,LRA_formula_277.smt2.csv,0.0367,0.1058,0.1086
z3,QF_AUFBV_891_sqlite3.smt2.csv,1.8281,3.4502,4.6208
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.0434,0.3172,0.3894
z3,QF_BV_bench_3176.smt2.csv,3.4100,44.0476,50.6725
z3,QF_BV_bench_935.smt2.csv,5.8494,31.0086,32.3584
z3,QF_LIA_tightrhombus.csv,0.2431,0.1956,0.2655
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.0181,0.2484,0.2939
z3,QF_NRA_hong_9.smt2.csv,0.0022,0.0092,0.0158
z3,QF_RDL_orb08_888.smt2.csv,0.0103,0.0956,0.1203
z3,QF_UFLIA_xs_23_43.smt2.csv,0.1221,2.6999,3.2796
z3,QF_UF_PEQ018_size6.smt2.csv,3.2391,53.9052,67.7373
