System,Dataset,MAPE,MAE,RMSE
batlik,corona.csv,0.0408,0.0595,0.0778
batlik,cranium.csv,0.0188,0.0378,0.0503
batlik,cubus.csv,0.0185,0.1142,0.1470
batlik,flame.csv,0.0187,0.0337,0.0432
batlik,france.csv,0.0214,0.0757,0.0984
batlik,frisco.csv,0.0300,0.1387,0.1810
batlik,jelly.csv,0.0378,0.0719,0.1089
batlik,karte.csv,0.0355,0.3800,0.4687
batlik,mandelbrot.csv,0.0209,0.0270,0.0352
batlik,strawberry.csv,0.0238,0.0387,0.0505
batlik,village.csv,0.1138,0.3612,0.5495
dconvert,jpeg-large.csv,0.0384,0.1234,0.1612
dconvert,jpeg-medium.csv,0.0292,0.0512,0.0671
dconvert,jpeg-small.csv,0.0303,0.0130,0.0169
dconvert,png-large.csv,0.0294,0.0705,0.0904
dconvert,png-medium.csv,0.0249,0.0158,0.0201
dconvert,png-small.csv,0.0305,0.0137,0.0183
dconvert,psd-large.csv,0.0140,0.5271,0.8668
dconvert,psd-medium.csv,0.0245,0.0317,0.0405
dconvert,psd-small.csv,0.0336,0.0188,0.0236
dconvert,svg-large.csv,0.0204,0.0307,0.0392
dconvert,svg-medium.csv,0.0169,0.0261,0.0327
dconvert,svg-small.csv,0.0232,0.0130,0.0163
h2,smallbank-1.csv,0.0374,715.2631,914.9098
h2,smallbank-10.csv,0.0221,296.0073,398.8370
h2,tpcc-2.csv,0.0272,19.8753,24.8958
h2,tpcc-8.csv,0.1945,104.0616,161.2639
h2,voter-16.csv,0.0209,670.4917,866.0338
h2,voter-2.csv,0.0215,681.0768,890.9103
h2,ycsb-2400.csv,0.0412,577.7555,733.6372
h2,ycsb-600.csv,0.0364,740.9650,966.0690
jump3r,beethoven.wav.csv,0.1650,1.6347,2.3067
jump3r,dual-channel.wav.csv,0.1578,0.4529,0.6371
jump3r,helix.wav.csv,0.1657,0.8364,1.2627
jump3r,single-channel.wav.csv,0.1404,0.2549,0.3479
jump3r,speech.wav.csv,0.1371,0.6187,0.8386
jump3r,sweep.wav.csv,0.0904,0.0547,0.0743
kanzi,ambivert.csv,0.3071,3.6409,5.9290
kanzi,artificl.csv,0.1029,0.0434,0.0706
kanzi,deepfield.csv,3.5205,3.9634,6.2230
kanzi,enwik8.csv,0.5539,8.1427,13.0894
kanzi,fannie_mae_500k.csv,0.8642,7.1490,11.2321
kanzi,large.csv,0.2983,0.9003,1.4365
kanzi,misc.csv,0.1023,0.0869,0.1346
kanzi,silesia.csv,0.6166,16.9121,26.8990
kanzi,vmlinux.csv,5.7069,33.5776,49.4485
lrzip,ambivert.wav.tar.csv,1.6897,14.3706,22.4063
lrzip,artificl.tar.csv,12.5555,1.1809,1.3866
lrzip,deepfield.tar.csv,1.6686,14.0065,21.7367
lrzip,enwik8.tar.csv,1.1614,19.0775,27.0728
lrzip,fannie_mae_500k.tar.csv,0.1181,5.0777,7.3361
lrzip,large.tar.csv,1.0003,2.1618,2.8995
lrzip,misc.tar.csv,2.5948,1.2253,1.4265
lrzip,silesia.tar.csv,1.3630,32.2945,45.7887
lrzip,uiq-32.bin.csv,2.2950,54.5048,76.2641
lrzip,uiq2-16.bin.csv,2.0202,29.6484,41.9332
lrzip,uiq2-4.bin.csv,1.2939,6.9765,10.4588
lrzip,uiq2-8.bin.csv,1.5875,14.6090,21.0205
lrzip,vmlinux-5.10.tar.csv,0.8028,4.4693,6.6072
x264,blue_sky_1080p25_short.y4m.csv,0.2124,1.4299,2.6632
x264,Johnny_1280x720_60_short.y4m.csv,0.2358,1.1705,2.2117
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.2102,3.9466,7.3277
x264,pedestrian_area_1080p25_short.y4m.csv,0.1997,1.6392,3.0667
x264,riverbed_1080p25_short.y4m.csv,0.1920,3.1149,5.8926
x264,sd_bridge_close_cif_short.y4m.csv,0.1419,0.0617,0.1114
x264,sd_city_4cif_short.y4m.csv,0.2217,0.6640,1.2408
x264,sd_crew_cif_short.y4m.csv,0.1718,0.1102,0.2053
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.1483,0.1698,0.3192
xz,ambivert.wav.tar.csv,0.2712,2.7538,3.6893
xz,artificl.tar.csv,0.2892,0.0063,0.0075
xz,deepfield.tar.csv,0.1281,1.2520,1.7742
xz,enwik8.tar.csv,0.4265,19.4949,36.2447
xz,fannie_mae_500k.tar.csv,0.1850,6.1710,7.4920
