System,Dataset,MAPE,MAE,RMSE
batlik,corona.csv,0.0365,0.0531,0.0709
batlik,cranium.csv,0.022,0.0441,0.0578
batlik,cubus.csv,0.0204,0.1268,0.1641
batlik,flame.csv,0.0217,0.0389,0.0499
batlik,france.csv,0.0247,0.087,0.1114
batlik,frisco.csv,0.036,0.1656,0.2097
batlik,jelly.csv,0.0262,0.0505,0.0845
batlik,karte.csv,0.0216,0.2707,0.3658
batlik,mandelbrot.csv,0.0233,0.0302,0.0392
batlik,strawberry.csv,0.026,0.0418,0.0532
batlik,village.csv,0.0268,0.132,0.386
dconvert,jpeg-large.csv,0.0264,0.0875,0.124
dconvert,jpeg-medium.csv,0.0213,0.0372,0.0504
dconvert,jpeg-small.csv,0.0315,0.0135,0.0175
dconvert,png-large.csv,0.0241,0.0584,0.0769
dconvert,png-medium.csv,0.0257,0.0163,0.0207
dconvert,png-small.csv,0.0323,0.0145,0.0192
dconvert,psd-large.csv,0.0154,0.5784,0.9459
dconvert,psd-medium.csv,0.0241,0.031,0.0398
dconvert,psd-small.csv,0.0356,0.0199,0.0251
dconvert,svg-large.csv,0.0224,0.0337,0.0432
dconvert,svg-medium.csv,0.0183,0.0282,0.0354
dconvert,svg-small.csv,0.0236,0.0132,0.0168
h2,smallbank-1.csv,0.0428,816.3125,1063.3405
h3,smallbank-10.csv,0.0249,332.1533,448.9063
h4,tpcc-2.csv,0.0316,22.9871,29.3111
h5,tpcc-8.csv,0.2356,128.4279,212.1218
h6,voter-16.csv,0.0201,643.122,859.0825
h7,voter-2.csv,0.0195,624.2372,856.1763
h8,ycsb-2400.csv,0.0453,634.3149,804.8086
h9,ycsb-600.csv,0.0397,816.6959,1084.8203
jump3r,beethoven.wav.csv,0.1611,1.6122,2.3928
jump3r,dual-channel.wav.csv,0.1531,0.4436,0.6559
jump3r,helix.wav.csv,0.1625,0.834,1.3318
jump3r,single-channel.wav.csv,0.1398,0.2549,0.3613
jump3r,speech.wav.csv,0.1363,0.6156,0.871
jump3r,sweep.wav.csv,0.0904,0.0548,0.0774
kanzi,ambivert.csv,0.0748,0.8812,1.7939
kanzi,artificl.csv,0.0417,0.0207,0.0448
kanzi,deepfield.csv,0.3173,0.7458,1.7145
kanzi,enwik8.csv,0.0781,1.402,3.348
kanzi,fannie_mae_500k.csv,0.0828,0.9546,2.6177
