System,Dataset,MAPE,MAE,RMSE
batlik,corona.csv,0.0301,0.0438,0.0589
batlik,cranium.csv,0.0180,0.0362,0.0474
batlik,cubus.csv,0.0168,0.1040,0.1334
batlik,flame.csv,0.0180,0.0323,0.0414
batlik,france.csv,0.0205,0.0724,0.0932
batlik,frisco.csv,0.0287,0.1320,0.1715
batlik,jelly.csv,0.0209,0.0393,0.0645
batlik,karte.csv,0.0174,0.2177,0.2903
batlik,mandelbrot.csv,0.0188,0.0243,0.0318
batlik,strawberry.csv,0.0214,0.0343,0.0438
batlik,village.csv,0.0223,0.1015,0.2724
dconvert,jpeg-large.csv,0.0247,0.0809,0.1148
dconvert,jpeg-medium.csv,0.0198,0.0341,0.0467
dconvert,jpeg-small.csv,0.0300,0.0129,0.0168
dconvert,png-large.csv,0.0227,0.0548,0.0718
dconvert,png-medium.csv,0.0244,0.0155,0.0197
dconvert,png-small.csv,0.0302,0.0135,0.0182
dconvert,psd-large.csv,0.0140,0.5272,0.8673
dconvert,psd-medium.csv,0.0224,0.0287,0.0369
dconvert,psd-small.csv,0.0334,0.0187,0.0235
dconvert,svg-large.csv,0.0204,0.0307,0.0393
dconvert,svg-medium.csv,0.0169,0.0261,0.0327
dconvert,svg-small.csv,0.0225,0.0126,0.0159
h2,smallbank-1.csv,0.0367,700.3223,906.2035
h2,smallbank-10.csv,0.0208,277.2572,380.1030
h2,tpcc-2.csv,0.0270,19.6900,24.5689
h2,tpcc-8.csv,0.1952,105.1563,162.4438
h2,voter-16.csv,0.0159,511.1006,689.8609
h2,voter-2.csv,0.0158,500.9625,704.5478
h2,ycsb-2400.csv,0.0382,536.2971,680.9413
h2,ycsb-600.csv,0.0331,680.2725,899.2043
jump3r,beethoven.wav.csv,0.1607,1.6072,2.3208
jump3r,dual-channel.wav.csv,0.1519,0.4367,0.6292
jump3r,helix.wav.csv,0.1604,0.8246,1.2855
jump3r,single-channel.wav.csv,0.1385,0.2516,0.3480
jump3r,speech.wav.csv,0.1352,0.6095,0.8393
jump3r,sweep.wav.csv,0.0890,0.0538,0.0740
kanzi,ambivert.csv,0.0659,0.8261,1.8120
kanzi,artificl.csv,0.0411,0.0196,0.0410
kanzi,deepfield.csv,0.1783,0.6660,1.7850
kanzi,enwik8.csv,0.0768,1.3182,3.1126
kanzi,fannie_mae_500k.csv,0.0692,0.8675,2.6137
kanzi,large.csv,0.0493,0.1497,0.3094
kanzi,misc.csv,0.0394,0.0315,0.0553
kanzi,silesia.csv,0.0783,2.5117,5.8420
kanzi,vmlinux.csv,0.2570,6.3767,20.1985
lrzip,ambivert.wav.tar.csv,1.7057,14.5778,22.9534
lrzip,artificl.tar.csv,12.6978,1.1875,1.5044
lrzip,deepfield.tar.csv,1.6461,13.9967,22.1048
lrzip,enwik8.tar.csv,1.1686,19.3001,27.7248
lrzip,fannie_mae_500k.tar.csv,0.1178,5.0730,7.3679
lrzip,large.tar.csv,1.0133,2.1736,2.9155
lrzip,misc.tar.csv,2.6580,1.2552,1.5122
lrzip,silesia.tar.csv,1.3696,32.6600,47.0486
lrzip,uiq-32.bin.csv,2.3092,55.2214,78.9738
lrzip,uiq2-16.bin.csv,2.0265,29.9105,42.8912
lrzip,uiq2-4.bin.csv,1.2866,7.0006,10.6158
lrzip,uiq2-8.bin.csv,1.5728,14.6298,21.2829
lrzip,vmlinux-5.10.tar.csv,0.7976,4.4643,6.6404
x264,blue_sky_1080p25_short.y4m.csv,0.1196,1.1227,2.5829
x264,Johnny_1280x720_60_short.y4m.csv,0.1248,0.9080,2.1424
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.1171,3.0878,7.1049
x264,pedestrian_area_1080p25_short.y4m.csv,0.1193,1.2979,2.9716
x264,riverbed_1080p25_short.y4m.csv,0.1227,2.4921,5.6936
x264,sd_bridge_close_cif_short.y4m.csv,0.0849,0.0483,0.1082
x264,sd_city_4cif_short.y4m.csv,0.1211,0.5141,1.2017
x264,sd_crew_cif_short.y4m.csv,0.1023,0.0862,0.1978
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.0945,0.1367,0.3119
xz,ambivert.wav.tar.csv,0.0257,0.5577,1.3686
xz,artificl.tar.csv,0.2915,0.0063,0.0075
xz,deepfield.tar.csv,0.0240,0.3523,0.6737
xz,enwik8.tar.csv,0.0884,9.8616,33.7452
xz,fannie_mae_500k.tar.csv,0.0233,0.9462,1.8851
xz,large.tar.csv,0.0208,0.0977,0.1493
xz,misc.tar.csv,0.0422,0.0186,0.0462
xz,silesia.tar.csv,0.0236,2.5829,5.4621
xz,uiq-32.bin.csv,0.0696,10.5229,30.0086
xz,uiq2-16.bin.csv,0.0760,5.1770,16.0694
xz,uiq2-4.bin.csv,0.0237,0.2506,0.5252
